,Name,Review Title,Rating,Reviewed Day,Reviewed Month,Reviewed Year,Verified Purchase,Helpfull No,Review
65,mangalik maity,Poor battery,1.0,15,5,2021,1,8,Worst battery. It does not even go for 1 whole day with minimum usage. On idle mode battery will drain out in 1.5 days.
66,Ritik,Horrible experience,1.0,15,2,2022,1,6,"I bought this phone just for creating video content.My main intention to buy this was it's mind-blowing camera.But guess what, when the phone got delivered the only thing not working was it's camera.Now,neither Amazon and not the so called APPLE is replacing the phone even after agreeing that there is a manufacturing defect in the phone.They just repaired this defective phone .Really upset with Amazon and APPLE service providers.Will never buy or recommend anyone else to buy APPLE's product from now on..#Unsatisfiedcustomer"
67,tarun chitkara,Phone over-heating from rear,1.0,20,5,2021,1,6,"Upgraded to brand new iPhone 12 (128gb) last week and from very first moment could feel the phone getting warmer to hotter from rear side and heat travels from back to side bezels making it even unable to hold the phone during FaceTime or work calls. After calling thrice to Apple official support, the staff was disconcerted and blamed it upon ‘normal behaviour’ of phone. However Amazon was kind enough to understand the issue and provided support to me. I recommend Amazon customer service."
68,Raj,"Apple what are you doing? No adapter in the box, this is thug life apple.",3.0,15,1,2021,1,10,"This phone is little bit expensive and the baddest thing there is no charging adapter on box, apple charging this much money for this phone without giving important accessories like charging adapter, 😡"
69,Rashmi,Colour chipping issue!! Do not buy unless Apple accepts it,4.0,19,11,2020,1,9,Do not buy.. there is colour chipping issue around camera. And it is not happening with me only.. so many complaints are there for this but apple is not bothered about it. They are not replacing product (its only 8 month I am using it) such cheap quality was not expected from apple. Disappointed!!!!
70,Riddhi,Expected a lot..but got nothing,1.0,3,8,2021,1,4,"The product was getting overheated too soon while using apple apps like iMovie.Also got heated while chargingIf I have to buy an 80k phone and just make calls and messages... doesn't make sense..And Amazon would not replace it just like that they need a letter from Apple stating ""Service Denial"" so shuttling between Amazon and Apple after 2 days of purchase."
71,Siddharth Shankar,"Beautiful Device, easy to grab and grip is awesome in normal adult palms",5.0,29,1,2022,1,5,"The media could not be loaded.
                



 Lack of innovation, I also i didn't like software as I struggle to go back from any screen I open.Android is much easier and user friendly."
72,Vineet,iPhone is like a Shadi ka Ladoo,1.0,10,2,2022,1,3,"I was an Android user and had high hopes with this Apple gadget, however after 8 months of using this so hyped Apple device, I can finally say that an iPhone is similar to a Shadi ka ladoo — jo Khaaye wo pachtaaye aur jo na khaye wo bhi pachtaaye. The reason I am saying this is because this phone lacks even the most basic features that even a 5k android phone has, like - call recording - which I eventually realised that it should have been an Apple feature instead of third party apps - which demand money and are pretty inconvenient to use.The second drawback is that call logs are auto erased and kept up to a certain stack size (100 / 102) and if you want to go back to pull any earlier call logs beyond this specified stack size, you won’t be able to do so and will have to rely on your network provider (if you are eligible) for the same.These are two very ground level use cases that fail to deliver in an Apple device and since I faced real life situations surrounding these two scenarios I feel that I it is not worth having this Phone and better to keep your “Android” pants on.Then I thought why I bought this phone in the first place and got my answer - 1. Camera ??Android phones are easily  competing nicely with iPhone Camera now-a-days and some have even better camera.2. Brand marketing / re-selling value / durability ?? I am so over it now after 8 months of usage and the price keeps on sinking down as newer model enters the market so not a wise call I must sayFinal outcome:Definitely not a returning customer."
73,Arnab,Great software seamlessly working with awesome hardware.,5.0,20,12,2020,1,6,"The hardware- cameras, spatial audio system, built and chip- are really really good. Better than any other high end phone in the market.The iOS software is really awesome! With features like shortcuts, siri among others- this phone is the smartest smart phone in the market. It just does things for you in the background to give you the unique user experience that android has not been able to give so far. I switched from an android phone (OnePlus) to this and it has been a very refreshing and wonderful change."
74,Junaid Masoodi,A good uograde,5.0,9,11,2020,1,9,"Overall it looks good, coming from XR it looks a good upgrade for me. Design is ‘back to basics’ which is compelling. I loved the fast response among other things."
75,Lav,Great purchase!,4.0,30,12,2020,1,3,"I used to use an Android phone till 2014 and wanted to switch to iOS, so the same year I bought iPhone 6, It was good to have an iOS device and the performance and the cameras but those were sufficient only until next year when 6s launched. Though I was a fan of the iPhone 5 and 5s box design but couldn't buy them somehow. I wasn't and I'm not crazy about changing or upgrading phone every year so in 2015 I bought again iPhone 6s by having a thought that this phone has everything which I needed ever, except for box design. Now I was satisfied enough with this.As time goes on and years passed away many iPhone models came but I wasn't eager to buy any of them but when this year series 12 launched, that made me excited to buy because firstly I was technologically behind and secondly the nostalgic box design.Years ago, when I switched to iOS, I'm quite satisfied with it, I never thought and want to go back to Android.When it comes to iPhone 12, it's a great and beautiful device. Smooth performance, good battery life, overpriced of course but people always have the choice to buy it or not. Though face ID is new to me and initially little inconvenient compared to touch ID, hopefully, I'm gonna used to of it.I bought a 128 GB device as per my requirement and colour white because finger prints on back are not visible, compared to other darker colours.INR 3000₹ Discount on the colour white, plus 6000₹ HDFC instant discount. Effective price 76000₹. Unfortunately Charging Brick isn't included and it coasted 1900₹ more for 20W USB-C from Apple India website.Overall it's a great device and satisfied purchase but overpriced for sure."
76,Ayushi Abhipsa,The best phone till date♥️,5.0,7,7,2021,1,5,"Guys let me tell you, I was a huge fan of androids and I literally never thought of buying an iphone, but then thought of giving it a try🥺🥺🥺and you couldn’t believe how much i mean to what extent i like this phone. This is a perfect phone ever with awesome battery life (I use it very much still one and half day chal jata he) speed is mind blowing and camera just wowwww!!! No need of buying fancy iphone 12 pro max this is more than enough yaar😍😍You will never ever regret buying thisReviewing after a use of 2 months"
77,Amesh Gharat,Overall good phone with some minor setbacks.,4.0,25,3,2021,1,4,"Overall good phone as it feels very premium, being made with high quality materials and has great performance. Excellent camera quality, great design and screen quality. The A14 processor is super fast and the phone never heats up even while performing intensive tasks. The speakers are very loud and clear and give out high quality sound.One problem I encountered is that  the battery life is not great but definitely above average. Another issue is the notch which makes the phone look outdated especially in 2021. The Face ID is also not useful while wearing masks which causes a lot of inconvenience since the phone doesn’t have a fingerprint scanner. The phone is also limited to a 60Hz refresh rate which again makes it less compelling than the competition which makes phones with 120Hz refresh rate at a much lower price."
78,Ashwin Menon,My wife loves it!!,5.0,29,7,2021,1,9,
79,s3r,Best selling phone in the world!!!,4.0,1,6,2021,1,2,"No wonder Apple makes some of the best phones in the world. Iphone 12 deservedly is the highest selling phone.I was upgrading from iphone 7 which served me well for 4 years, which I exchanged for this.The delivery & exchange formalities were smooth.The phone itself is surely an upgrade when compared to 7, the display is top notch, the camera is probably the best there is, the face unlock works like a charm, what's to say about the best phone, it works even better than advertised.The only problem like always is the battery which hardly lasts a day & charging time is also an issue, it tends to heat up a little while charging but with the previous experience with iphone 7, the longevity of the phone is guaranteed with the timely updates from Apple, the premium which an iphone demands stands justified with a superior product.Some people tried to discourage me from buying an iphone from Amazon claiming warranty & support issues. But there's no substance to such things. I confirmed the warranty & product registration from Apple, it's as advertised.Since most of us are going to use it for a longer period of time, it's prudent to opt for the extended warranty offered by Apple which costs around 16500 which gives us an extended year of warranty. Do remember to do this within 3 months of your purchase."
80,Raghuvaran N,It's a refurbished phone,1.0,27,1,2022,1,5,The phone already had a profile when I opened the settings. This is a refurbished phone. I logged in with my apple ID only to find another person has already been using this phone. This is clearly a refurbished item being sold as new. Please stop this cheating and refund my purchase.
81,Jamadagni,Huge leap for the standard iPhone,5.0,22,2,2021,1,5,"Upgraded from an iPhone 7 32 gigs to iPhone 12 . After holding out for a long time the upgrade was worth it. All the feature set display, camera, speakers, signal reception, chipset is a huge upgrade. Recommended if you happen to have a device from 2016 or older. This device will be the new standard iPhone for the next 4 years. So worth it if you get it now."
82,Brijesh Pandey,Phone is good but apple is doing cheap thing that not providing adaptor,4.0,16,1,2021,1,7,"The media could not be loaded.
                



 Phone is awesome no doubt camera also as expected Smooth phoneBut There is no adaptor charger iphone provide only data cable people spend 85k and then again spend for 2k for charger that is very inappropriate this is not good people will not buy if this will continue providing not charger. What’s the meaning of phone people buy phone and don’t have charger to charge the phone first experience is mine for iphone is very bad because of charger. Because new c type adaptor is not getting everywhere how people will charge his phone. 85000 is a big amount so thing about it and provide full sets of charger."
83,akash kumar,Its a beast phone,5.0,19,6,2021,1,3,"Now it's almost more than 2 weeks of usage and I'm fully satisfied with the performance. Earlier I was using oneplus 6T and after malfunction of the screen, i decided to move to Iphone. Before buying i had done all the R&D. Many of reviews says that it has bad battery life and couldn't stand a day. But as per my usages my battery stays all day long. I used to make call (6 to 7 hours), video, music, surfing everything except game and battery last upto 24 hours with data mode on.In my opinion its worth buying."
84,Supriya,"Awesome phone, don't step back beoz of bad reviews. Make ur dream come true 😀",5.0,21,1,2022,1,10,"The media could not be loaded.
                



 I was litterly worried before getting it delivered, as my delivery was late, I thought they will be some golmal on product, but I got the original product which I was expecting.. pls go n buy, don't get panic by seeing reviews.. I'm very excited with my new phone.. battery life is also good. Face is awesomepart and camera quality at picks... best deal for this independence day 😍🤩"
85,Preksha,Faulty,1.0,27,1,2021,1,8,The product found faulty after one week The microphone of speaker was not working in the phone. It Was in warranty period so got replaced by new one.
86,Shibu,Android user to iPhone user review,4.0,4,8,2021,1,2,"I was an android user before using iPhone. So that this is my first experience handling with iOS.As an android user I felt little bit difficult while using iOS but later you would love it.Performance of this phone is awesome and outstanding. Photo and video quality, sound quality, connectivity etc all is good.I experienced the heating issue while charging and phone calls. But the coolant system is good, it will cool down quickly.Overall it’s a good phone."
87,Jal,"After spending 60k on Amazon Rcvd Defected piece , sealed  was opened",1.0,16,12,2021,1,4,"After spending 60k on Amazon Rcvd Defected piece , sealed  was opened & there was lots of scratches on IPhone, not expected this from amazon."
88,Vignesh Bhasker,I prefer the 11 or the 12 mini,3.0,1,6,2021,1,5,"I have been an apple user for the past 10 years and this is the first phone which is disappointing. I was using the Xr and 11 before this and though of upgrading.1. If you are moving from an android to iPhone for the 1st time, its a great phone to get in terms of camera, processor, screen quality. But if you are already an existing iPhone user, upgrade only from XR downwards. That is if your are upgrading from a 8/X/XS/XR. If you have a 11, stick to it. Wait for the 13 or budget is not a constraint then get the 12 pro.2. form factor. Apple has gone back to rectangle brick design that they used in their earlier phones. Now for me this was one the reasons I didn't like the phone. It wasn't comfortable n the hand after being used to the curve of the X and 11 and XR3. Camera- best camera quality with night mode . u can't go wrong with this camera setup.4. screen- excellent screen quality , no complaints here.5. 5g - IS it really that big a deal breaker ? especially if you are in India where 5g seems a long way off.6. No charging adapter. You either have to connect it to your MacBook or buy a separate power adapter. When ur spending 70 odd grand, that's the least apple could offer.7. again no ear phones.8. It somehow doesn't have the wow factor as what the X had.Update.I exchange my phone for a 12 mini. much more easier to use with one hand and comfortable."
89,Bhavkan Indane,Product was switched off permanently,1.0,26,3,2021,1,9,Product was switched off permanently after a week.
90,Rahul,Overpriced,4.0,15,1,2022,1,4,Cons:1.Overpriced phone( which should be around 45k)2.No Adapter3.Ugly Layout at the side of screen.( Iphone xs max which i have has better layout)4.No Telephoto lense at this price seriously a joke
91,Ramesh Chand Verma,facing problem of less life in battery,2.0,3,4,2021,1,6,"facing less life problem in battery, need to replace itvery poor service, pick up scheduled today 09.04.2021, however delivery boy not picked up the phone inspite of coming at our company, very poor service from amazon, we are very disappointed"
92,Saptarshi Dutt,"Excellent phone, beautiful colour♥️",4.0,3,4,2021,1,2,"Excellent phone, only reason I have reduced one star is since Amazon reduced the price by Rs 3000 the day after I received the phone and this really hurts after spending so much of my hard earned money. Exchange value received for my older phone was also pretty inadequate, considering the condition it was in.Pros:1. The green colour is gorgeous2. Cameras are outstanding3. Battery life is really good, lasts me almost 2 days on a charge4. Screen is very bright and has vibrant colours5. Speaker is very loudCons:1. Just nitpicking, but a fingerprint sensor would have been much more convenient during Covid2. Indian variant doesn't have the mmWave antenna, inspite of being more expensive than the US VariantOverall, a great buy.TIP: Please do not buy 64 GB model, unless you have a robust cloud subscription to upload stuff into."
93,Pushkar Dighe,Poor manufacturing,1.0,18,1,2022,1,5,Overall mobile is good but found blue spots on side and upper frame. This is not expected from Amazon. This is my worst order experience with Amazon. Really disappointing!
94,Babu,Worst battery life,1.0,30,1,2022,1,5,"This is the worst apple product I bought so far. After one week of my purchase, I felt the battery is draining fast without any usage. I occasionally use my phones for browsing purposes. Charged to 100% on one evening and switched off for 25 hrs due to fever. After 25 hrs, when I switched on my mobile, the battery is 56%. I am wondering how can I fix it. Disabled all background refresh for apps and did as much as possible to improve the battery life. But no use.  I regret to buy this defective product from Apple/amazon"
95,MANU GOPINATH,Everything is good but not te yellow tinted display !,4.0,24,1,2021,1,3,"Completely satisfied with the performance , Camera and Battery life. But display totally disappointed me. There is an extra yellow tint for the display and colors are off. I am a photographer and colour grading artist. So accurate color reproduction is of almost importance to me. Please reconsider your decision if you are in similar profession"
96,...who else,Moving from Android to iOS?,4.0,2,4,2021,1,1,"Yes, it is a 5 star phone. But if you are moving from android to iPhone please be ready to lose your freedom. There is a lot available on internet to tell you about what you will lose out on. It is like speaking a new language altogether.Quick image editing, video editing, simple things like making collages, setting custom ringtones, quick editing of alarms, changing WiFi or Bluetooth, toggling location, many more basic features are either absent in iOS or managed in a very cumbersome way. You will miss them if moving from Andriod. Also be ready to lose your WhatsApp chat history. Not impressed by the sound reproduction on bigger speakers via Bluetooth and the very inflexible equilizer.For some silly reasons Apple is being stubborn on some aspects like standardisation of charging cable even within its own products. The notch at the top of the screen is still the same size it was in 2018.Rest, there are tons of reviews to praise the phone and I agree with most of them.Was a bit disappointed the way it was packaged. No foam or bubble wrap."
97,Nitesh T.,My first iPhone,5.0,18,1,2022,1,2,"The media could not be loaded.
                



 This is my first iPhone and the phone is really awesome as i have seen in lots of reviews. I am already aware with iOS since i have iPad. I have pocof1 which i bought in 2018 and after spending 3 years with Android i made up my mind to move to iOS. The packaging was well and I recieved the phone in 1 day."
98,Veena Ramanathan,Product is good but exchange process could have been better!,4.0,19,1,2022,1,2,"The product is good.We exchanged our 6s for this product.The mail sent by amazon regarding the exchange process should have been clearer and crisp.Too complicated a process!!Email should have clearly mentioned the steps apart from the standard 3 steps.Download amazon app on the product to be exchanged.But its not easy ,takes long and is not a simple one post downloading!Better to clarify everything in the order summary clear and bold about the 7 step verification  to make the customer and the delivery executive not lose time!"
99,Anjana.D,A14 Bionic. The beast in all segments,5.0,30,7,2021,1,3,"I have been using iPhone 12 from past 20days. Overall a great phone with best battery life, best camera and great display. The most important thing about this phone is the performance. It’s top notch. A14 Bionic chip which is 5mm SOC with 5G modem delivers a greater performance without any lag. With few latest iOS updates(14.7.1) and few changes in configuration/settings I get a battery life for 2 days per charge(96%). Overall a beast in all segments including the price.For the price apple should have provided a charging brick and earphones, but they have not. Currently Amazon is selling this phone for 73k which is the best deal. Go for it."
100,Sunny Uppatla,Doubtful product,4.0,22,12,2020,1,6,What i am feeling is there is some difference buying products on amazon and stores directly. I have compared with my friends battery life has huge change she gets a day and mine ends within 7-8 hours
101,aman choudhary,The only Eco-friendly Device,4.0,15,2,2022,1,1,"Buy it if you really worried about environment and carbon emissions, apple is taking care of it by not providing adaptor, you will still buy it @ 2K but that adaptor work on biogas, very eco-friendly, it sucksOverall good buy, it help you keep High status in the society, really good device to use also, you should buy it on discount and in collaboration with your family and partner. There is a screen in the front with apple logo at the back, A top notch bazzle visible from miles, battery might not run for a day, but people do still admire the dead iphone which is great thing to be part of, other than this sound quality is better, camera awesome, full pack of connectivity issues, you will be able to know how capable you are to find the solutions."
102,Ubaid Rather,Amazon doesn’t accept return for Apple products,1.0,4,10,2021,1,4,"If you face any issues with the product and want to return within the 7 days of your purchase, you can’t.In 7days return policy, it is mentioned to raise concern with Apple.Just putting this out there for the people who doesn’t read all terms and conditions like me."
103,NQ1194,What a phone should be,5.0,31,1,2021,1,6,"Upgraded from one plus 7 proNever used IOS before,Must say this is what phones are supposed to be.Just go for it.Early delivery by Amazon , Well packed and secure package."
104,Suhail Khan,Amazing!!!,5.0,7,3,2022,1,0,"It’s my first iPhone ever and I bought it with my earned money through part time jobs in college✌️I am a tech freak so you can trust my views -- A14 Bionic is the fastest, most efficient and reliable processor till date- The camera focuses so quickly that you can take DSLR quality photos.- The screen size 6.1 inches is the most comfortable screen size out there and the OLED retina XDR display is so crisp and everything feels real.- The stereo speakers are so clear even on high volume and gives awesome vibe while listening to music- iOS has no bugs at all- 20W charging is lit 🔥- The Face ID feels like having no lock for yourself, there’s no issue while using Face ID even in the dark because it uses infrared rays to scan the faceDrawbacks -- Battery could be better"
105,Aman Srivastava,Intelligence of future,5.0,11,12,2020,1,2,"I was an avid android user for past 25 years. This move to IPhone 12 was a calculative yet bolder definitive move.Let’s look at the some of key pointers here what I saw -- Stunning design and spectacular OLed display pouring out all the vivid colors- Smooth app flow and transitions- Longer battery life 7-8 hrs without automation (best in my usage)-  Camera is just bringing the life out of all the captures you make.*I am using Apple 20w charger which is insane at charging 20-25 percent in 7 mins. So, In 15 mins, you are having half the battery up. Love the border outlay of this beauty. It’s almost a month of usage and I can boldly say, “The best switch one can make”. I know the price tag is always hefty but then you are choosing a long term reliability. Kudos to Apple Inc and Amazon for amazing delivery in 2 days.*Please avoid playing Apple Arcade games as they would drain you battery like anything. In my best guess, It is not rightly optimised for it.*What I come to see is why Apple looked for environmental protection by removing charger and earphones. I guess it should come at a reasonable price then. It really put me off but then you know what the market player is serving."
106,ASHIL SINGHAL,Unworthy for the Price _ Ear Speaker Failure,3.0,31,7,2021,1,3,"In just 5 months the ear speaker of iPhone 12 failed and stopped working.iPhone store is not very customer friendly, they make you wait and then ask numerous silly question.Time requested to investigate the problem is unreasonable. In today's world when we are addicted to phone and cannot part for minutes they ask for weeks to only investigate.WE GET BETTER SERVICE WHEN WE SPEND 1000 Rs at a restaurant than what we get at iPhone store after spending 85000 Rs."
107,Prabhjot Singh,It worked for me.,5.0,24,1,2022,1,3,"Although I still believe, people are scammed. This was my first ever iPhone, and I took a risk to buy it from Amazon, as there was a huge discount in sale. I was very afraid, and video captured complete unboxing with all EMEI numbers etc. At the end, I got completely genuine and working new product. Thanks Amazon !!"
108,Jagjit,"Packing was extremely cheap, could have damaged my product",4.0,15,2,2022,1,1,"You are sending a phone of worth so much and using such cheap packing .. great. Atleast a box would have worked well too.I tried making video of my product to be sure that i received a phone and not a soap or brick but the delivery guy refused and said 'its not written on my face that I'm a fraud ' and 'its your product, you are responsible for what it is inside the package'.Thankfully I have not received a brick but what if I have ? Who would have been responsible?Who would have paid for my loss ?If you are ordering expensive items , make sure to capture the video and ask delivery guy to open before submitting OTP..With god's grace i have received my phone. Will update after using for a while."
109,Amazon Customer,Worst customer support from Amazon and RKLLP,3.0,20,1,2022,1,5,"I bought iphone 12 in republic sale, it is a scam, neither amazon nor seller RKLLP will intertain any complaints about the product, don’t buy any expensive item on amazon"
110,Aseem Mishra,Best phone I could bought,5.0,27,1,2021,1,4,"This is my first iPhone purchase , coming from oneplus 7 I don't have any regrets about the switch. Yes the switch was painful (especially because I lost all my whatsapp chats) but is worth it. comparing to oneplus 7, this phone has all features from it but in better form. My OP7 was smooth, fast had good battery camera,battery and  haptics. iPhone is just way smoother,fast and have great camera,battery and haptics. There is a slight learning curve. took 2 days to get used to gestures and navigations but is smooth sailing. the only negative feedback would be no charger in the box. You will have to get from apple.com if you want fast 20W one."
111,Manish Meena,Not happy with performance,1.0,18,2,2022,1,2,"phone having minor touch issue after 8 month of purchase, since issue is minor, due to covid & staying at remote location not able to contact apple. Now from yesterday it has major touch issue.I have already using Apple Macbook,ipad. These product are having very good performance but This Iphone's performance is very bad. I feel that purchasing Iphone at a cost of around 80k is not worthy."
112,Manish W,Most secure and beautiful iPhone,5.0,5,7,2021,1,0,"Those who already use iPhone, no need of explanation.Coming to specific model iPhone 12 …Most of the features are same as IPhone 12 Pro, like -->1.  6.1 inch Super Retina XDR display  (OLED display), with 2532x1170-pixel resolution at 460 ppi2.  A14 bionic Chip & Next-generation Neural Engine3.  Dual 12MP camera system (Ultra Wide and Wide)4.  5G, Ceramic Shield front, Compatible with MagSafe, True tone, Haptic Touch ….Those who are not bothered about LiDAR, Telephoto mode, Apple ProRAW, stainless steel frame and wants to save around 30K bucks should go with iPhone 12. If those things matter you most then go for iPhone 12 Pro with additional 30K bucks.By the way, aerospace-grade aluminum frame in iPhone 12 looks stunning. I am very much happy with iPhone 12."
113,Amazon Customer,Extremely bad call quality,1.0,4,4,2021,1,4,I keep hearing crackling sound when on calls. There is no voice clarity and it takes like 10 mins to connect to call. My cheaper android phone is so smooth in call quality and connects instantly. Both the phones have same network carrier.Can I get this phone replaced or get refunded?
114,Saurabh,An Apple makes the day better !!!❤️,5.0,23,2,2022,1,0,"I was initially very much afraid to buy apple phone because I never liked ios or apple ecosystem, but when I used this it was just awesome!You cannot compete the smoothness with any other device.My thoughts/ rating:-Camera : Good but selfie cam is not upto the markUI : user friendly and easy once you get to know itPerformance : UnbeatableAudio : Best… its like surround sound system!Fit and finish : The best!If you agree with my views please hit the Like button below ! Thanks!"
115,SHIVAM SHARMA,Apple should wait for at least 2 years before launching a new iPhone.,4.0,14,11,2021,1,0,"Well they are a multinational conglomerate and I have simply purchased a product of theirs, so I shouldn’t be commenting on their product launching strategy. However keeping this aside, I would try to genuinely help those looking for reviews before buying, in a few simple steps.1. Go for it if you are going for an upgrade after  3-4 years, as it will give you some flawless experience again.2. Battery life is not upto the mark, I feel XR that I used before this had a good battery, maybe I am wrong.3. Face ID has got no significant improvement at all, again I think XR had a better face detection.4. Camera I could sense something has been done.5. Coming to interface and product performance, it is flawless, smooth, faster."
116,copyrioter,It’s an iPhone!,5.0,27,5,2021,1,0,"Upgraded from an XR. Key points -a. Way more lighterb. Better screen resolutionc. Slightly better performance (not noticeable to the regular user though)d. Better camera and picturesWhat could’ve been better -a. Battery life - OLED doesn’t make too much of a difference to battery life. I’m getting the same one and a half days on itb. Outer Shell - the body is a fingerprint magnetc. Charging - wireless charging is slower. Wired charging, with a proper adapter is fasterTo sum it up. If you’re already a part of the beautiful Apple ecosystem or if you’re thinking of being a part of it, this is a great phone to pick up. Go for it!"
117,Amazon Customer,Great phone ever,5.0,20,6,2021,1,3,"Great display, RAM management is super. Camera is best in comparison to any other android phone. Battery will last 1 day but it can be better. If you are planning to use for daily work and office mail then it will perfectly work for one day. Very fast face recognition and blazing fast processor."
118,Ashutosh m.,Mobile performance is not good for PUBG,1.0,24,3,2021,1,6,This phone needs too much optimisation aim assist not working in PUBG in my phone
119,Payal,battery is ok,4.0,22,1,2022,1,1,recently shifted from note series to iphone. Only con i feel is battery dosent last as long as it lasted for my galaxy note 10 lite.prosits An iphonecamera is awsomeface reco is marvelous even in dark it takes fraction of secondssuper light weight. lighter than iphone SE 2020speakers are loud and formedin short if you arent a heavy gamer or youtuber or video fans or anyof these and dont mind charging phone twice a day theres no issue with it
120,Sameer,The camera does not work,1.0,20,1,2021,1,8,My camera does not work
121,Krishna,iPhone 12 review,5.0,18,3,2022,1,1,"Honestly if you have a XR, you don’t need to go for this unless you are a core fan of video games. For a normal user, any Apple phone above 6 is still a good bet. No need to spend money unnecessary.One thing I liked in this model is the new phone set up by keeping old phone near. It was awesome simple."
122,Customer 645,Snappy performance and good battery backup,5.0,20,12,2020,1,2,"Excellent performance, all apps open up almost instantly. Battery life is great. Gets around 4.5-5 hrs screen time with 47% remaining (last checked). Initially while restoring from iCloud it would consume a lot of battery. Give it a day or two. It would settle down."
123,kishore,If u want peace purchase it from Apple store.,1.0,6,6,2021,1,4,"Received defective product from Amazon end,and refused to replace , Apple says go back to Amazon.Therefore I advised to purchase it from Apple store. Amazon customer care already wasted lots of time and solutions nil batte sannaata."
124,Arpita,Nearly there to being just the perfect phone,5.0,24,6,2021,1,1,"I have been an android user and shifting to Apple was a real uphill task in my thoughts. Proved quite the opposite. It's a smooth experience. Battery can be better considering how much better other phones r getting, rest all seems fine. No issues so far. In love with the camera. Super light weight(you do need a back cover) and amazing."
125,Ananda Mukherjee,Excellent phone,5.0,1,1,2021,1,1,"Excellent phone. I have been using iPhone since iPhone 4s was launchediPhone 12 is exceptionally good phone with a lovely screen. colours are vivid and elaborate.I am pretty heavy user of my phone on a daily basis and the battery really lasts for the whole day comfortably, actually I do not have to worry regarding my battery in spite of heavy usage.Camera is very good and takes perfect picture especially the portrait mode which is actually superb.Buttery smooth operating system and iOS 14.3 is superb. I actually do not feel the difference with 120 Hz refresh rate. The phone does not really lag at all, the dual SIM capability is also lovely and helpful."
126,Krishanu Mukherjee,Make in India 🇮🇳,5.0,2,5,2021,1,5,Thank you Apple Inc. and Amazon. It is worth for each penny. Kudos to you guys and yes it is assembled in India ❤️
127,Swapnil Pai,The beast,5.0,3,7,2021,1,0,"Best smartphone in the market. Camera is great. Can do astrophotography a bit.You can throw anything at that A14 processor & it will work like a charm.Ram management is freaky, If you close a app & open it after 24 hrs, it will take you exactly where you had left off.Battery Lasts for over a day & screen on time of 7-8 hrs with proper settings.People laugh at apple for not providing charger but any other charger works same like apple ones. No need to buy a separate apple charger. Use android ones. Above 15W"
128,Amz cust,Pretty good,4.0,12,9,2021,1,1,Very good. Easy user interface. Good screen. Screen notch design is outdated. No finger scanner for unlocking. Battery life needs improvement. Only 60 hz screen refresh rate. No charger inside box. Carrier Aggregation 4g+ not visible.Price is on higher side. Bluetooth transfer is major issue.
129,shubhankar ghosh,Brilliant product by Apple,5.0,5,2,2022,1,1,"Smooth functioning and brilliant color. I had put back cover for protection but it is a masterpiece. Blue colour is awesome. Battery life is one day including video watching, net surfing, playing games etc. Face recognition is instant, I sometimes in doubt that either I had locked the phone or not."
130,Surya Sreeram,iOS is waste Android is BEST,1.0,24,2,2022,1,1,"It didn't met my expectations. Never gonna buy iOS mobile again. No user experience. Found that it is very basic. Means intial stages of Android OS has these problems like no big app availablity n not great experience from UI etc.,My suggestion a BIG NO to Apple iPhone.Yeah, I agree that iPhone is an iconic status symbol in INDIA. to showoff you can buy an iPhone."
131,Meenakshi enterprises,Waste of money fraud product,1.0,5,5,2021,1,6,This is quality of iphone 12  I believe my product was defeated but Dnt buy from this seller
132,manu,Truly a smartphone,4.0,12,3,2021,1,2,"Comparing iPhone with Android devices, it really feels like iPhone are really smart. with smart typing and UI features, not only the phone is fast but also offers unique features like intelligent charging, health, connectivity/sleep settings which one will be surprised to use. Camera picture quality is definitely the best if not the best for iPhone.My suggestion: Truly intelligent, incredibly  fast phone one should buy !!!"
133,Pankaj Dhir,Phone is not turning on,4.0,25,9,2021,1,2,"Phone was working dinw untill one day when it all of a sudden went black screen went black and now its not turning on I tried all the methods to boot it up, battery status was 60 percent when it turned off now i am worried, no physical damage was there but dont why it stopped functioning. And here in himachal pradesh No service centre is here, have to travle 250Km to get this fixed. It is very sad after spending a huge amount this phone stopped working in just 8 months."
134,TroubleMaker,Bad customer service,1.0,4,7,2021,1,5,Earpiece damaged with in 8 months no one giving proper service customer service too bad in india
135,mano,Classy mobile with less battery capacity,5.0,6,2,2021,1,1,"Have used for more than a week ...display is good and classy, camera is very good even in low light, product is light weight as compared to previous versions XR ,battery lasts for two days with very low usage and charging takes around 2h15mins from 10 to 100% with 12W apple charger..overall it’s a good mobile with less battery backup that might have been boosted ..."
136,mudassir mansuri,A Powerpacked Device that ticks all the boxes,5.0,20,3,2021,1,1,"Having transitioned from the World of Android to IOS, it seems like a truckload of difference in these 2 worlds.... The Simplicity, Refinement and Ease of Use on this Ecosystem is just too Classic.... The Battery Life, The Haptics, The Camera and the overall Fluidity of IOS makes an impressive impact in terms usage.... For me, using an IPhone for the first time reaffirms me of one thing: I don’t think I will want to switch back to the Android Ecosystem ever again....."
137,Nikita Rathore,My first IPhone,5.0,26,1,2022,1,1,"This is my first iphone and I am having the best experience sp far with it. The oled display is the smoothest of all, amazing camera even for night lights its perfect. Totally satisfied with the experience.Amazon delivered the phone one day late and it was a slight disappointment."
138,Milandeep singh,Feel too premium,5.0,18,1,2021,1,4,"The media could not be loaded.
                



 Changed from iPhone X, Got the new blue colour, something unique from apple. Great battery backup and the edges now look too premium. Overall, such a great buy 🤩"
